Episode,Score,Steps,AvgScore,Epsilon
1,0,21,0.00,0.9950
2,0,38,0.00,0.9900
3,0,27,0.00,0.9851
4,0,25,0.00,0.9801
5,0,31,0.00,0.9752
6,1,24,0.17,0.9704
7,0,38,0.14,0.9655
8,0,16,0.12,0.9607
9,0,14,0.11,0.9559
10,0,25,0.10,0.9511
11,0,25,0.09,0.9464
12,0,14,0.08,0.9416
13,0,19,0.08,0.9369
14,0,9,0.07,0.9322
15,0,10,0.07,0.9276
16,0,5,0.06,0.9229
17,0,6,0.06,0.9183
18,0,11,0.06,0.9137
19,0,44,0.05,0.9092
20,1,51,0.10,0.9046
21,0,32,0.10,0.9001
22,1,22,0.14,0.8956
23,0,21,0.13,0.8911
24,0,12,0.12,0.8867
25,0,20,0.12,0.8822
26,0,11,0.12,0.8778
27,0,20,0.11,0.8734
28,0,18,0.11,0.8691
29,0,17,0.10,0.8647
30,0,31,0.10,0.8604
31,0,22,0.10,0.8561
32,0,15,0.09,0.8518
33,0,14,0.09,0.8475
34,1,12,0.12,0.8433
35,0,12,0.11,0.8391
36,0,38,0.11,0.8349
37,1,18,0.14,0.8307
38,0,32,0.13,0.8266
39,0,7,0.13,0.8224
40,0,7,0.12,0.8183
41,0,8,0.12,0.8142
42,0,14,0.12,0.8102
43,1,19,0.14,0.8061
44,1,12,0.16,0.8021
45,0,14,0.16,0.7981
46,0,14,0.15,0.7941
47,0,37,0.15,0.7901
48,0,19,0.15,0.7862
49,0,29,0.14,0.7822
50,0,15,0.14,0.7783
51,0,18,0.14,0.7744
52,0,15,0.13,0.7705
53,0,12,0.13,0.7667
54,0,12,0.13,0.7629
55,0,8,0.13,0.7590
56,0,10,0.12,0.7553
57,0,8,0.12,0.7515
58,0,7,0.12,0.7477
59,0,16,0.12,0.7440
60,0,25,0.12,0.7403
61,0,24,0.11,0.7366
62,0,32,0.11,0.7329
63,0,11,0.11,0.7292
64,0,7,0.11,0.7256
65,0,15,0.11,0.7219
66,0,9,0.11,0.7183
67,0,11,0.10,0.7147
68,1,17,0.12,0.7112
69,0,12,0.12,0.7076
70,0,35,0.11,0.7041
71,0,20,0.11,0.7005
72,0,24,0.11,0.6970
73,0,20,0.11,0.6936
74,0,38,0.11,0.6901
75,1,37,0.12,0.6866
76,0,10,0.12,0.6832
77,1,78,0.13,0.6798
78,0,10,0.13,0.6764
79,1,26,0.14,0.6730
80,0,9,0.14,0.6696
81,0,17,0.14,0.6663
82,1,6,0.15,0.6630
83,1,18,0.16,0.6597
84,1,42,0.17,0.6564
85,1,26,0.18,0.6531
86,0,13,0.17,0.6498
87,0,19,0.17,0.6466
88,0,21,0.17,0.6433
89,0,6,0.17,0.6401
