Episode,Score,Steps,AvgScore,Epsilon
90,0,32,0.17,0.6369
91,0,40,0.16,0.6337
92,0,30,0.16,0.6306
93,1,47,0.17,0.6274
94,0,8,0.17,0.6243
95,0,14,0.17,0.6211
96,0,14,0.17,0.6180
97,0,22,0.16,0.6149
98,0,10,0.16,0.6119
99,0,11,0.16,0.6088
100,1,26,0.17,0.6058
101,0,14,0.17,0.6027
102,0,11,0.17,0.5997
103,0,6,0.17,0.5967
104,0,8,0.17,0.5937
105,0,11,0.17,0.5908
106,0,41,0.16,0.5878
107,0,12,0.16,0.5849
108,2,18,0.18,0.5820
109,0,16,0.18,0.5790
110,1,41,0.19,0.5762
111,0,7,0.19,0.5733
112,0,46,0.19,0.5704
113,0,14,0.19,0.5676
114,0,7,0.19,0.5647
115,0,41,0.19,0.5619
116,1,16,0.20,0.5591
117,0,19,0.20,0.5563
118,0,19,0.20,0.5535
119,1,9,0.21,0.5507
120,0,16,0.20,0.5480
121,0,23,0.20,0.5452
122,0,10,0.19,0.5425
123,0,14,0.19,0.5398
124,0,11,0.19,0.5371
125,0,10,0.19,0.5344
126,0,9,0.19,0.5318
127,0,17,0.19,0.5291
128,0,37,0.19,0.5264
129,0,7,0.19,0.5238
130,0,27,0.19,0.5212
131,0,5,0.19,0.5186
132,1,13,0.20,0.5160
133,0,10,0.20,0.5134
134,0,10,0.19,0.5108
135,1,30,0.20,0.5083
136,0,12,0.20,0.5058
137,0,11,0.19,0.5032
138,0,8,0.19,0.5007
139,1,25,0.20,0.4982
140,0,16,0.20,0.4957
141,1,41,0.21,0.4932
142,1,35,0.22,0.4908
143,0,10,0.21,0.4883
144,0,11,0.20,0.4859
145,1,30,0.21,0.4834
146,0,29,0.21,0.4810
147,1,13,0.22,0.4786
148,1,16,0.23,0.4762
149,2,28,0.25,0.4738
150,1,11,0.26,0.4715
151,1,20,0.27,0.4691
152,0,11,0.27,0.4668
153,1,19,0.28,0.4644
154,0,19,0.28,0.4621
155,1,26,0.29,0.4598
156,1,56,0.30,0.4575
157,0,11,0.30,0.4552
158,0,12,0.30,0.4529
159,1,11,0.31,0.4507
160,1,8,0.32,0.4484
161,2,9,0.34,0.4462
162,0,14,0.34,0.4440
163,0,16,0.34,0.4417
164,1,19,0.35,0.4395
165,2,93,0.37,0.4373
166,0,23,0.37,0.4351
167,0,17,0.37,0.4330
168,0,36,0.36,0.4308
169,1,27,0.37,0.4286
170,0,15,0.37,0.4265
171,0,21,0.37,0.4244
172,1,39,0.38,0.4223
173,1,18,0.39,0.4201
174,2,23,0.41,0.4180
175,0,44,0.40,0.4159
176,1,33,0.41,0.4139
177,0,12,0.40,0.4118
178,0,25,0.40,0.4097
179,1,10,0.40,0.4077
180,1,35,0.41,0.4057
181,1,23,0.42,0.4036
182,1,10,0.42,0.4016
183,2,35,0.43,0.3996
184,1,32,0.43,0.3976
185,3,71,0.45,0.3956
186,0,14,0.45,0.3936
187,0,7,0.45,0.3917
188,0,8,0.45,0.3897
189,0,15,0.45,0.3878
190,2,27,0.47,0.3858
191,0,30,0.47,0.3839
192,0,13,0.47,0.3820
193,0,37,0.46,0.3801
194,0,20,0.46,0.3782
195,2,58,0.48,0.3763
196,1,13,0.49,0.3744
197,1,13,0.50,0.3725
198,4,76,0.54,0.3707
199,0,14,0.54,0.3688
200,1,29,0.54,0.3670
201,0,15,0.54,0.3651
202,0,15,0.54,0.3633
203,2,36,0.56,0.3615
204,1,28,0.57,0.3597
205,0,14,0.57,0.3579
206,1,18,0.58,0.3561
207,3,140,0.61,0.3543
208,0,7,0.59,0.3525
209,2,44,0.61,0.3508
210,2,47,0.62,0.3490
211,0,27,0.62,0.3473
212,1,15,0.63,0.3455
213,1,20,0.64,0.3438
214,0,14,0.64,0.3421
215,2,27,0.66,0.3404
216,0,20,0.65,0.3387
217,1,21,0.66,0.3370
218,2,101,0.68,0.3353
219,0,16,0.67,0.3336
220,2,99,0.69,0.3320
221,2,23,0.71,0.3303
222,3,40,0.74,0.3286
223,0,10,0.74,0.3270
224,5,106,0.79,0.3254
225,0,14,0.79,0.3237
226,0,9,0.79,0.3221
227,1,19,0.80,0.3205
228,3,54,0.83,0.3189
229,1,20,0.84,0.3173
230,3,71,0.87,0.3157
231,0,21,0.87,0.3141
232,0,39,0.86,0.3126
233,6,78,0.92,0.3110
234,1,16,0.93,0.3095
235,5,64,0.97,0.3079
236,0,41,0.97,0.3064
237,0,9,0.97,0.3048
238,0,16,0.97,0.3033
239,4,52,1.00,0.3018
240,1,33,1.01,0.3003
241,2,54,1.02,0.2988
242,1,13,1.02,0.2973
243,0,13,1.02,0.2958
244,2,70,1.04,0.2943
245,2,29,1.05,0.2929
246,0,19,1.05,0.2914
247,2,37,1.06,0.2899
248,0,16,1.05,0.2885
249,0,20,1.03,0.2870
250,1,37,1.03,0.2856
251,0,14,1.02,0.2842
252,1,14,1.03,0.2828
253,1,16,1.03,0.2813
254,0,11,1.03,0.2799
255,0,4,1.02,0.2785
256,0,19,1.01,0.2771
257,1,32,1.02,0.2758
258,5,76,1.07,0.2744
259,1,27,1.07,0.2730
260,1,27,1.07,0.2716
261,2,41,1.07,0.2703
262,2,51,1.09,0.2689
263,1,27,1.10,0.2676
264,0,11,1.09,0.2663
265,1,13,1.08,0.2649
266,0,23,1.08,0.2636
267,1,48,1.09,0.2623
268,1,28,1.10,0.2610
269,1,24,1.10,0.2597
270,2,42,1.12,0.2584
271,1,23,1.13,0.2571
272,4,108,1.16,0.2558
273,1,7,1.16,0.2545
274,5,91,1.19,0.2532
275,0,9,1.19,0.2520
276,4,137,1.22,0.2507
277,2,29,1.24,0.2495
278,1,27,1.25,0.2482
279,0,13,1.24,0.2470
280,1,10,1.24,0.2457
281,1,33,1.24,0.2445
282,2,56,1.25,0.2433
283,3,53,1.26,0.2421
284,2,35,1.27,0.2409
285,4,18,1.28,0.2397
286,2,23,1.30,0.2385
287,1,27,1.31,0.2373
288,1,9,1.32,0.2361
289,0,24,1.32,0.2349
290,2,22,1.32,0.2337
291,5,50,1.37,0.2326
292,0,21,1.37,0.2314
293,3,71,1.40,0.2302
294,1,21,1.41,0.2291
295,0,16,1.39,0.2279
296,4,72,1.42,0.2268
297,2,21,1.43,0.2257
298,3,77,1.42,0.2245
299,7,92,1.49,0.2234
300,1,11,1.49,0.2223
301,3,51,1.52,0.2212
302,0,10,1.52,0.2201
303,0,8,1.50,0.2190
304,4,39,1.53,0.2179
305,3,51,1.56,0.2168
306,0,14,1.55,0.2157
307,2,31,1.54,0.2146
308,1,18,1.55,0.2136
309,1,14,1.54,0.2125
310,0,18,1.52,0.2114
311,6,82,1.58,0.2104
312,2,69,1.59,0.2093
313,1,12,1.59,0.2083
314,1,14,1.60,0.2072
315,0,9,1.58,0.2062
316,4,80,1.62,0.2052
317,3,54,1.64,0.2041
318,2,26,1.64,0.2031
319,1,30,1.65,0.2021
320,1,25,1.64,0.2011
321,2,16,1.64,0.2001
322,1,28,1.62,0.1991
323,1,29,1.63,0.1981
324,0,8,1.58,0.1971
325,2,34,1.60,0.1961
326,3,43,1.63,0.1951
327,3,47,1.65,0.1942
328,5,63,1.67,0.1932
329,2,21,1.68,0.1922
330,2,41,1.67,0.1913
331,7,85,1.74,0.1903
332,4,55,1.78,0.1893
333,3,41,1.75,0.1884
334,1,22,1.75,0.1875
335,0,11,1.70,0.1865
336,6,72,1.76,0.1856
337,6,64,1.82,0.1847
338,1,24,1.83,0.1837
339,3,56,1.82,0.1828
340,2,31,1.83,0.1819
341,3,37,1.84,0.1810
342,0,11,1.83,0.1801
343,2,24,1.85,0.1792
344,4,36,1.87,0.1783
345,3,33,1.88,0.1774
346,2,16,1.90,0.1765
347,0,8,1.88,0.1756
348,2,37,1.90,0.1748
349,1,27,1.91,0.1739
350,2,39,1.92,0.1730
351,5,89,1.97,0.1721
352,13,172,2.09,0.1713
353,2,15,2.10,0.1704
354,1,47,2.11,0.1696
355,1,6,2.12,0.1687
356,2,39,2.14,0.1679
357,1,29,2.14,0.1670
358,2,18,2.11,0.1662
359,6,123,2.16,0.1654
360,0,11,2.15,0.1646
361,1,33,2.14,0.1637
362,3,38,2.15,0.1629
363,0,12,2.14,0.1621
364,3,54,2.17,0.1613
365,1,24,2.17,0.1605
366,0,8,2.17,0.1597
367,1,10,2.17,0.1589
368,3,52,2.19,0.1581
369,5,103,2.23,0.1573
370,3,35,2.24,0.1565
371,7,85,2.30,0.1557
372,7,104,2.33,0.1549
373,2,52,2.34,0.1542
374,3,35,2.32,0.1534
375,2,35,2.34,0.1526
376,3,51,2.33,0.1519
377,2,49,2.33,0.1511
378,4,38,2.36,0.1504
379,8,92,2.44,0.1496
380,2,36,2.45,0.1489
381,4,37,2.48,0.1481
382,2,30,2.48,0.1474
383,5,79,2.50,0.1466
384,1,29,2.49,0.1459
385,4,46,2.49,0.1452
386,5,61,2.52,0.1444
387,6,67,2.57,0.1437
388,5,74,2.61,0.1430
389,8,124,2.69,0.1423
390,1,8,2.68,0.1416
391,1,22,2.64,0.1409
392,2,48,2.66,0.1402
393,4,95,2.67,0.1395
394,3,21,2.69,0.1388
395,7,127,2.76,0.1381
396,2,38,2.74,0.1374
397,5,63,2.77,0.1367
398,6,80,2.80,0.1360
399,1,22,2.74,0.1353
400,2,42,2.75,0.1347
401,5,99,2.77,0.1340
402,1,25,2.78,0.1333
403,8,90,2.86,0.1326
404,5,29,2.87,0.1320
405,2,27,2.86,0.1313
406,0,4,2.86,0.1307
407,3,35,2.87,0.1300
408,1,15,2.87,0.1294
409,1,16,2.87,0.1287
410,5,85,2.92,0.1281
411,2,16,2.88,0.1274
412,2,34,2.88,0.1268
413,1,12,2.88,0.1262
414,3,30,2.90,0.1255
415,6,77,2.96,0.1249
416,0,14,2.92,0.1243
417,1,15,2.90,0.1237
418,8,94,2.96,0.1230
419,1,9,2.96,0.1224
420,5,92,3.00,0.1218
421,8,104,3.06,0.1212
422,5,73,3.10,0.1206
423,5,68,3.14,0.1200
424,11,152,3.25,0.1194
425,1,24,3.24,0.1188
426,11,165,3.32,0.1182
427,2,17,3.31,0.1176
428,6,82,3.32,0.1170
429,2,68,3.32,0.1164
430,0,20,3.30,0.1159
431,3,48,3.26,0.1153
432,2,50,3.24,0.1147
433,2,31,3.23,0.1141
434,7,67,3.29,0.1136
435,0,9,3.29,0.1130
436,1,22,3.24,0.1124
437,4,32,3.22,0.1119
438,3,50,3.24,0.1113
439,0,10,3.21,0.1107
440,11,130,3.30,0.1102
441,0,17,3.27,0.1096
442,3,70,3.30,0.1091
443,7,123,3.35,0.1085
444,0,8,3.31,0.1080
445,1,12,3.29,0.1075
446,7,156,3.34,0.1069
447,5,68,3.39,0.1064
448,1,33,3.38,0.1059
449,7,119,3.44,0.1053
450,3,29,3.45,0.1048
451,5,68,3.45,0.1043
452,2,32,3.34,0.1038
453,0,7,3.32,0.1032
454,6,108,3.37,0.1027
455,3,56,3.39,0.1022
456,7,77,3.44,0.1017
457,6,55,3.49,0.1012
458,1,31,3.48,0.1007
459,7,103,3.49,0.1002
460,2,38,3.51,0.0997
461,0,15,3.50,0.0992
462,1,20,3.48,0.0987
463,3,43,3.51,0.0982
464,4,38,3.52,0.0977
465,11,145,3.62,0.0972
466,11,164,3.73,0.0967
467,3,61,3.75,0.0962
468,1,7,3.73,0.0958
469,8,88,3.76,0.0953
470,4,73,3.77,0.0948
471,8,94,3.78,0.0943
472,2,11,3.73,0.0939
473,1,10,3.72,0.0934
474,13,143,3.82,0.0929
475,1,13,3.81,0.0925
476,5,81,3.83,0.0920
477,5,82,3.86,0.0915
478,6,84,3.88,0.0911
479,0,5,3.80,0.0906
480,1,16,3.79,0.0902
481,4,49,3.79,0.0897
482,2,31,3.79,0.0893
483,2,38,3.76,0.0888
484,13,171,3.88,0.0884
485,7,98,3.91,0.0879
486,5,50,3.91,0.0875
487,2,25,3.87,0.0871
488,8,143,3.90,0.0866
489,4,45,3.86,0.0862
490,6,67,3.91,0.0858
491,2,39,3.92,0.0853
492,2,38,3.92,0.0849
493,6,52,3.94,0.0845
494,3,36,3.94,0.0841
495,3,48,3.90,0.0836
496,2,25,3.90,0.0832
497,10,132,3.95,0.0828
498,9,141,3.98,0.0824
499,5,44,4.02,0.0820
500,2,13,4.02,0.0816
501,7,72,4.04,0.0812
502,4,32,4.07,0.0808
503,3,90,4.02,0.0804
504,8,108,4.05,0.0800
505,13,164,4.16,0.0796
506,3,39,4.19,0.0792
507,8,92,4.24,0.0788
508,2,35,4.25,0.0784
509,0,19,4.24,0.0780
510,6,119,4.25,0.0776
511,1,33,4.24,0.0772
512,5,71,4.27,0.0768
513,3,44,4.29,0.0764
514,10,137,4.36,0.0760
515,12,162,4.42,0.0757
516,9,133,4.51,0.0753
517,5,86,4.55,0.0749
518,5,72,4.52,0.0745
519,1,10,4.52,0.0742
520,5,116,4.52,0.0738
521,11,137,4.55,0.0734
522,10,137,4.60,0.0731
523,1,20,4.56,0.0727
524,9,121,4.54,0.0723
525,5,95,4.58,0.0720
526,4,75,4.51,0.0716
527,12,126,4.61,0.0712
528,4,51,4.59,0.0709
529,3,34,4.60,0.0705
530,6,85,4.66,0.0702
531,2,22,4.65,0.0698
532,6,68,4.69,0.0695
533,7,73,4.74,0.0691
534,7,89,4.74,0.0688
535,1,16,4.75,0.0684
536,3,39,4.77,0.0681
537,4,39,4.77,0.0678
538,9,105,4.83,0.0674
539,13,140,4.96,0.0671
540,0,40,4.85,0.0668
541,2,23,4.87,0.0664
542,2,39,4.86,0.0661
543,2,27,4.81,0.0658
544,3,33,4.84,0.0654
545,3,51,4.86,0.0651
546,0,9,4.79,0.0648
547,6,62,4.80,0.0645
548,9,94,4.88,0.0641
549,2,26,4.83,0.0638
550,0,72,4.80,0.0635
551,7,105,4.82,0.0632
552,4,33,4.84,0.0629
553,9,131,4.93,0.0625
554,5,51,4.92,0.0622
555,14,217,5.03,0.0619
556,11,146,5.07,0.0616
557,7,81,5.08,0.0613
558,2,43,5.09,0.0610
559,3,40,5.05,0.0607
560,1,18,5.04,0.0604
561,8,127,5.12,0.0601
562,6,140,5.17,0.0598
563,11,174,5.25,0.0595
564,11,148,5.32,0.0592
565,10,216,5.31,0.0589
566,6,64,5.26,0.0586
567,8,185,5.31,0.0583
568,10,187,5.40,0.0580
569,4,46,5.36,0.0577
570,6,75,5.38,0.0574
571,2,30,5.32,0.0571
572,6,106,5.36,0.0569
573,2,34,5.37,0.0566
574,6,63,5.30,0.0563
575,5,99,5.34,0.0560
576,2,24,5.31,0.0557
577,9,155,5.35,0.0555
578,5,94,5.34,0.0552
579,10,113,5.44,0.0549
580,8,136,5.51,0.0546
581,12,131,5.59,0.0544
582,0,6,5.57,0.0541
583,6,134,5.61,0.0538
584,4,43,5.52,0.0535
585,2,45,5.47,0.0533
586,1,11,5.43,0.0530
587,2,33,5.43,0.0527
588,5,72,5.40,0.0525
589,2,33,5.38,0.0522
590,8,146,5.40,0.0520
591,1,29,5.39,0.0517
592,9,131,5.46,0.0514
593,3,56,5.43,0.0512
594,8,91,5.48,0.0509
595,6,53,5.51,0.0507
596,1,14,5.50,0.0504
597,2,14,5.42,0.0502
598,11,110,5.44,0.0499
599,1,24,5.40,0.0497
600,1,42,5.39,0.0494
601,4,79,5.36,0.0492
602,6,101,5.38,0.0489
603,11,157,5.46,0.0487
604,8,99,5.46,0.0484
605,4,41,5.37,0.0482
606,9,137,5.43,0.0479
607,15,179,5.50,0.0477
608,1,13,5.49,0.0475
609,8,111,5.57,0.0472
610,1,10,5.52,0.0470
611,6,56,5.57,0.0468
612,12,195,5.64,0.0465
613,4,55,5.65,0.0463
614,11,149,5.66,0.0461
615,3,27,5.57,0.0458
616,4,43,5.52,0.0456
617,0,34,5.47,0.0454
618,1,13,5.43,0.0452
619,2,48,5.44,0.0449
620,3,40,5.42,0.0447
621,7,65,5.38,0.0445
622,7,122,5.35,0.0443
623,2,11,5.36,0.0440
624,2,26,5.29,0.0438
625,7,81,5.31,0.0436
626,8,139,5.35,0.0434
627,4,61,5.27,0.0432
628,8,151,5.31,0.0429
629,3,42,5.31,0.0427
630,10,161,5.35,0.0425
631,6,94,5.39,0.0423
632,3,50,5.36,0.0421
633,1,20,5.30,0.0419
634,8,79,5.31,0.0417
635,14,212,5.44,0.0415
636,4,35,5.45,0.0413
637,7,77,5.48,0.0410
638,4,73,5.43,0.0408
639,14,167,5.44,0.0406
640,3,33,5.47,0.0404
641,5,40,5.50,0.0402
642,8,94,5.56,0.0400
643,9,105,5.63,0.0398
644,6,81,5.66,0.0396
645,3,58,5.66,0.0394
646,2,31,5.68,0.0392
647,0,7,5.62,0.0390
648,20,277,5.73,0.0388
649,13,203,5.84,0.0387
650,13,201,5.97,0.0385
651,8,127,5.98,0.0383
652,4,70,5.98,0.0381
653,11,157,6.00,0.0379
654,5,75,6.00,0.0377
655,7,89,5.93,0.0375
656,10,149,5.92,0.0373
657,1,16,5.86,0.0371
658,2,32,5.86,0.0369
659,2,41,5.85,0.0368
660,4,69,5.88,0.0366
661,7,114,5.87,0.0364
662,4,121,5.85,0.0362
663,8,151,5.82,0.0360
664,6,93,5.77,0.0359
665,2,31,5.69,0.0357
666,3,81,5.66,0.0355
667,4,57,5.62,0.0353
668,1,12,5.53,0.0351
669,6,51,5.55,0.0350
670,5,69,5.54,0.0348
671,6,73,5.58,0.0346
672,11,178,5.63,0.0344
673,7,66,5.68,0.0343
674,6,81,5.68,0.0341
675,4,85,5.67,0.0339
676,2,45,5.67,0.0338
677,4,49,5.62,0.0336
678,3,49,5.60,0.0334
679,13,138,5.63,0.0333
680,3,15,5.58,0.0331
681,9,197,5.55,0.0329
682,15,167,5.70,0.0328
683,1,19,5.65,0.0326
684,6,155,5.67,0.0324
685,4,63,5.69,0.0323
686,5,98,5.73,0.0321
687,2,13,5.73,0.0319
688,3,37,5.71,0.0318
689,1,39,5.70,0.0316
690,5,83,5.67,0.0315
691,5,85,5.71,0.0313
692,20,333,5.82,0.0312
693,6,117,5.85,0.0310
694,9,137,5.86,0.0308
695,0,11,5.80,0.0307
696,4,75,5.83,0.0305
697,13,179,5.94,0.0304
698,10,118,5.93,0.0302
699,1,33,5.93,0.0301
700,0,8,5.92,0.0299
701,3,40,5.91,0.0298
702,16,268,6.01,0.0296
703,9,118,5.99,0.0295
704,13,150,6.04,0.0293
705,2,21,6.02,0.0292
706,6,178,5.99,0.0290
707,4,50,5.88,0.0289
708,5,86,5.92,0.0288
709,4,29,5.88,0.0286
710,7,131,5.94,0.0285
711,1,16,5.89,0.0283
712,12,243,5.89,0.0282
713,9,132,5.94,0.0280
714,3,34,5.86,0.0279
715,14,264,5.97,0.0278
716,10,113,6.03,0.0276
717,1,13,6.04,0.0275
718,14,174,6.17,0.0274
719,5,59,6.20,0.0272
720,7,107,6.24,0.0271
721,6,80,6.23,0.0269
722,11,149,6.27,0.0268
723,11,195,6.36,0.0267
724,14,292,6.48,0.0265
725,13,225,6.54,0.0264
726,0,10,6.46,0.0263
727,7,76,6.49,0.0261
728,6,74,6.47,0.0260
729,6,80,6.50,0.0259
730,2,37,6.42,0.0258
731,5,49,6.41,0.0256
732,9,154,6.47,0.0255
733,10,160,6.56,0.0254
734,5,85,6.53,0.0252
735,3,39,6.42,0.0251
736,5,55,6.43,0.0250
737,7,205,6.43,0.0249
738,7,91,6.46,0.0247
739,9,129,6.41,0.0246
740,3,26,6.41,0.0245
741,3,41,6.39,0.0244
742,3,48,6.34,0.0243
743,9,141,6.34,0.0241
744,6,49,6.34,0.0240
745,18,421,6.49,0.0239
746,2,26,6.49,0.0238
747,1,22,6.50,0.0237
748,8,137,6.38,0.0235
749,7,112,6.32,0.0234
750,10,150,6.29,0.0233
751,13,197,6.34,0.0232
752,9,143,6.39,0.0231
753,1,12,6.29,0.0229
754,4,62,6.28,0.0228
755,6,71,6.27,0.0227
756,16,225,6.33,0.0226
757,3,26,6.35,0.0225
758,6,109,6.39,0.0224
759,9,184,6.46,0.0223
760,4,36,6.46,0.0222
761,2,12,6.41,0.0220
762,4,49,6.41,0.0219
763,3,46,6.36,0.0218
764,7,78,6.37,0.0217
765,14,194,6.49,0.0216
766,17,334,6.63,0.0215
767,4,48,6.63,0.0214
768,7,97,6.69,0.0213
769,7,123,6.70,0.0212
770,4,69,6.69,0.0211
771,13,184,6.76,0.0210
772,16,227,6.81,0.0209
773,6,154,6.80,0.0208
774,13,223,6.87,0.0207
775,7,130,6.90,0.0206
776,17,257,7.05,0.0205
777,2,65,7.03,0.0203
778,12,203,7.12,0.0202
779,1,16,7.00,0.0201
780,1,23,6.98,0.0200
781,11,173,7.00,0.0199
782,15,162,7.00,0.0198
783,14,305,7.13,0.0197
784,13,213,7.20,0.0196
785,4,125,7.20,0.0195
786,22,341,7.37,0.0195
787,5,104,7.40,0.0194
788,4,71,7.41,0.0193
789,0,4,7.40,0.0192
790,12,154,7.47,0.0191
791,8,123,7.50,0.0190
792,1,9,7.31,0.0189
793,10,146,7.35,0.0188
794,6,63,7.32,0.0187
795,14,235,7.46,0.0186
796,2,30,7.44,0.0185
797,3,74,7.34,0.0184
798,10,94,7.34,0.0183
799,1,42,7.34,0.0182
800,12,186,7.46,0.0181
801,13,170,7.56,0.0180
802,4,70,7.44,0.0180
803,13,178,7.48,0.0179
804,12,244,7.47,0.0178
805,16,290,7.61,0.0177
806,8,112,7.63,0.0176
807,9,113,7.68,0.0175
808,1,13,7.64,0.0174
809,15,163,7.75,0.0173
810,7,93,7.75,0.0172
811,1,10,7.75,0.0172
812,10,141,7.73,0.0171
813,5,113,7.69,0.0170
814,6,103,7.72,0.0169
815,13,264,7.71,0.0168
816,7,79,7.68,0.0167
817,16,247,7.83,0.0167
818,10,245,7.79,0.0166
819,12,319,7.86,0.0165
820,8,65,7.87,0.0164
821,8,155,7.89,0.0163
822,11,146,7.89,0.0162
823,8,147,7.86,0.0162
824,2,65,7.74,0.0161
825,7,136,7.68,0.0160
826,11,117,7.79,0.0159
827,5,84,7.77,0.0158
828,10,157,7.81,0.0158
829,4,54,7.79,0.0157
830,5,61,7.82,0.0156
831,21,250,7.98,0.0155
832,16,276,8.05,0.0154
833,13,280,8.08,0.0154
834,12,237,8.15,0.0153
835,14,206,8.26,0.0152
836,14,250,8.35,0.0151
837,10,207,8.38,0.0151
838,16,209,8.47,0.0150
839,4,82,8.42,0.0149
840,3,112,8.42,0.0148
841,6,66,8.45,0.0148
842,14,226,8.56,0.0147
843,1,14,8.48,0.0146
844,12,155,8.54,0.0145
845,11,185,8.47,0.0145
846,13,206,8.58,0.0144
847,9,138,8.66,0.0143
848,4,74,8.62,0.0143
849,2,56,8.57,0.0142
850,11,202,8.58,0.0141
851,18,333,8.63,0.0140
852,2,38,8.56,0.0140
853,10,111,8.65,0.0139
854,13,192,8.74,0.0138
855,13,141,8.81,0.0138
856,15,297,8.80,0.0137
857,11,436,8.88,0.0136
858,3,77,8.85,0.0136
859,4,59,8.80,0.0135
860,1,40,8.77,0.0134
861,12,195,8.87,0.0134
862,4,81,8.87,0.0133
863,6,65,8.90,0.0132
864,2,15,8.85,0.0132
865,19,232,8.90,0.0131
866,9,153,8.82,0.0130
867,16,333,8.94,0.0130
868,2,28,8.89,0.0129
869,3,34,8.85,0.0128
870,9,140,8.90,0.0128
871,5,104,8.82,0.0127
872,13,164,8.79,0.0126
873,10,167,8.83,0.0126
874,2,18,8.72,0.0125
875,5,79,8.70,0.0125
876,6,139,8.59,0.0124
877,8,133,8.65,0.0123
878,11,161,8.64,0.0123
879,9,177,8.72,0.0122
880,8,127,8.79,0.0121
881,1,47,8.69,0.0121
882,1,10,8.55,0.0120
883,11,235,8.52,0.0120
884,7,140,8.46,0.0119
885,9,146,8.51,0.0118
886,15,171,8.44,0.0118
887,23,280,8.62,0.0117
888,7,90,8.65,0.0117
889,17,247,8.82,0.0116
890,12,138,8.82,0.0115
891,8,129,8.82,0.0115
892,19,360,9.00,0.0114
893,13,158,9.03,0.0114
894,11,191,9.08,0.0113
895,11,161,9.05,0.0113
896,7,83,9.10,0.0112
897,19,285,9.26,0.0112
898,9,135,9.25,0.0111
899,25,343,9.49,0.0110
900,16,323,9.53,0.0110
901,4,61,9.44,0.0109
902,13,164,9.53,0.0109
903,12,205,9.52,0.0108
904,3,73,9.43,0.0108
905,26,450,9.53,0.0107
906,12,233,9.57,0.0107
907,4,52,9.52,0.0106
908,8,147,9.59,0.0106
909,5,59,9.49,0.0105
910,4,59,9.46,0.0104
911,1,25,9.46,0.0104
912,18,320,9.54,0.0103
913,1,51,9.50,0.0103
914,4,53,9.48,0.0102
915,13,277,9.48,0.0102
916,18,273,9.59,0.0101
917,1,13,9.44,0.0101
918,6,105,9.40,0.0100
919,4,100,9.32,0.0100
920,4,58,9.28,0.0100
921,11,185,9.31,0.0100
922,9,96,9.29,0.0100
923,8,138,9.29,0.0100
924,10,113,9.37,0.0100
925,8,152,9.38,0.0100
926,5,93,9.32,0.0100
927,14,233,9.41,0.0100
928,11,163,9.42,0.0100
929,4,89,9.42,0.0100
930,3,52,9.40,0.0100
