Episode,Score,Steps,AvgScore,Epsilon,QStates
0,0,8,0.00,0.9950,8
1,0,10,0.00,0.9900,14
2,0,41,0.00,0.9851,43
3,0,11,0.00,0.9801,52
4,0,22,0.00,0.9752,66
5,0,14,0.00,0.9704,79
6,0,16,0.00,0.9655,89
7,0,38,0.00,0.9607,112
8,0,12,0.00,0.9559,118
9,0,15,0.00,0.9511,127
10,0,15,0.00,0.9464,138
11,0,15,0.00,0.9416,147
12,0,6,0.00,0.9369,151
13,0,13,0.00,0.9322,155
14,0,19,0.00,0.9276,162
15,0,8,0.00,0.9229,165
16,0,18,0.00,0.9183,176
17,0,19,0.00,0.9137,178
18,0,10,0.00,0.9092,178
19,0,15,0.00,0.9046,183
20,0,15,0.00,0.9001,191
21,0,17,0.00,0.8956,198
22,0,22,0.00,0.8911,204
23,0,12,0.00,0.8867,210
24,0,11,0.00,0.8822,213
25,0,22,0.00,0.8778,221
26,0,33,0.00,0.8734,227
27,0,17,0.00,0.8691,232
28,0,23,0.00,0.8647,235
29,0,16,0.00,0.8604,237
30,1,55,0.03,0.8561,255
31,0,8,0.03,0.8518,255
32,0,6,0.03,0.8475,257
33,0,30,0.03,0.8433,264
34,0,9,0.03,0.8391,269
35,0,17,0.03,0.8349,272
36,0,8,0.03,0.8307,273
37,0,11,0.03,0.8266,273
38,0,9,0.03,0.8224,273
39,0,7,0.03,0.8183,273
40,0,10,0.02,0.8142,279
41,0,21,0.02,0.8102,285
42,0,12,0.02,0.8061,292
43,0,13,0.02,0.8021,293
44,1,31,0.04,0.7981,305
45,0,15,0.04,0.7941,307
46,0,12,0.04,0.7901,314
47,1,18,0.06,0.7862,318
48,0,24,0.06,0.7822,328
49,0,16,0.06,0.7783,328
50,0,9,0.06,0.7744,333
51,0,18,0.06,0.7705,336
52,0,16,0.06,0.7667,338
53,0,7,0.06,0.7629,345
54,0,17,0.05,0.7590,349
55,0,30,0.05,0.7553,356
56,0,10,0.05,0.7515,360
57,0,12,0.05,0.7477,364
58,0,7,0.05,0.7440,366
59,0,30,0.05,0.7403,368
60,0,16,0.05,0.7366,369
61,0,16,0.05,0.7329,371
62,0,14,0.05,0.7292,378
63,1,10,0.06,0.7256,382
64,1,27,0.08,0.7219,400
65,0,37,0.08,0.7183,404
66,0,6,0.07,0.7147,405
67,0,7,0.07,0.7112,406
68,0,7,0.07,0.7076,406
69,0,12,0.07,0.7041,408
70,0,14,0.07,0.7005,409
71,1,15,0.08,0.6970,416
72,0,15,0.08,0.6936,417
73,1,14,0.09,0.6901,421
74,0,12,0.09,0.6866,428
75,1,23,0.11,0.6832,432
76,0,6,0.10,0.6798,432
77,0,18,0.10,0.6764,440
78,0,12,0.10,0.6730,442
79,2,18,0.12,0.6696,449
80,0,18,0.12,0.6663,454
81,0,6,0.12,0.6630,457
82,0,7,0.12,0.6597,459
83,0,15,0.12,0.6564,459
84,0,12,0.12,0.6531,460
85,0,5,0.12,0.6498,460
86,0,21,0.11,0.6466,463
87,0,48,0.11,0.6433,468
88,0,28,0.11,0.6401,477
89,0,21,0.11,0.6369,477
90,0,36,0.11,0.6337,480
91,0,15,0.11,0.6306,486
92,0,16,0.11,0.6274,487
93,0,23,0.11,0.6243,493
94,0,7,0.11,0.6211,493
95,1,4,0.11,0.6180,494
96,0,6,0.11,0.6149,494
97,0,8,0.11,0.6119,494
98,0,15,0.11,0.6088,497
99,0,22,0.11,0.6058,506
100,1,40,0.12,0.6027,516
101,0,18,0.12,0.5997,520
102,0,7,0.12,0.5967,520
103,0,6,0.12,0.5937,521
104,1,10,0.13,0.5908,525
105,0,8,0.13,0.5878,526
106,2,34,0.15,0.5849,535
107,0,7,0.15,0.5820,538
108,1,12,0.16,0.5790,539
109,1,44,0.17,0.5762,559
110,0,6,0.17,0.5733,559
111,0,12,0.17,0.5704,560
112,0,7,0.17,0.5676,561
113,0,9,0.17,0.5647,565
114,1,29,0.18,0.5619,570
115,0,26,0.18,0.5591,580
116,1,16,0.19,0.5563,584
117,0,15,0.19,0.5535,587
118,0,24,0.19,0.5507,588
119,0,7,0.19,0.5480,589
120,0,6,0.19,0.5452,590
121,0,19,0.19,0.5425,595
122,0,20,0.19,0.5398,596
123,0,11,0.19,0.5371,597
124,3,48,0.22,0.5344,611
125,0,23,0.22,0.5318,614
126,1,33,0.23,0.5291,628
127,0,9,0.23,0.5264,628
128,0,9,0.23,0.5238,628
129,0,16,0.23,0.5212,633
130,0,48,0.22,0.5186,651
131,0,11,0.22,0.5160,654
132,0,5,0.22,0.5134,654
133,0,8,0.22,0.5108,654
134,0,9,0.22,0.5083,654
135,0,10,0.22,0.5058,656
136,0,11,0.22,0.5032,657
137,0,16,0.22,0.5007,659
138,0,5,0.22,0.4982,659
139,0,18,0.22,0.4957,660
140,0,19,0.22,0.4932,663
141,0,11,0.22,0.4908,663
142,0,8,0.22,0.4883,664
143,0,17,0.22,0.4859,665
144,0,18,0.21,0.4834,668
145,0,8,0.21,0.4810,668
146,0,15,0.21,0.4786,671
147,0,20,0.20,0.4762,672
148,0,15,0.20,0.4738,676
149,0,10,0.20,0.4715,676
150,0,21,0.20,0.4691,679
151,0,16,0.20,0.4668,680
152,0,10,0.20,0.4644,680
153,0,35,0.20,0.4621,688
154,0,7,0.20,0.4598,688
155,0,23,0.20,0.4575,691
156,0,9,0.20,0.4552,692
157,0,6,0.20,0.4529,692
158,0,10,0.20,0.4507,692
159,0,14,0.20,0.4484,694
160,0,9,0.20,0.4462,694
161,0,7,0.20,0.4440,696
162,0,21,0.20,0.4417,702
163,0,30,0.19,0.4395,703
164,1,11,0.19,0.4373,705
165,0,17,0.19,0.4351,710
166,0,20,0.19,0.4330,714
167,0,16,0.19,0.4308,716
168,0,21,0.19,0.4286,719
169,1,8,0.20,0.4265,721
170,0,38,0.20,0.4244,725
171,0,16,0.19,0.4223,726
172,0,12,0.19,0.4201,729
173,0,21,0.18,0.4180,733
174,0,6,0.18,0.4159,734
175,0,10,0.17,0.4139,736
176,0,22,0.17,0.4118,740
177,0,5,0.17,0.4097,740
178,0,11,0.17,0.4077,743
179,0,21,0.15,0.4057,743
180,0,16,0.15,0.4036,744
181,0,22,0.15,0.4016,745
182,0,6,0.15,0.3996,746
183,0,8,0.15,0.3976,746
184,0,6,0.15,0.3956,748
185,0,32,0.15,0.3936,759
186,1,13,0.16,0.3917,761
187,1,9,0.17,0.3897,762
188,0,6,0.17,0.3878,764
189,2,19,0.19,0.3858,772
190,0,7,0.19,0.3839,772
191,0,11,0.19,0.3820,774
192,0,13,0.19,0.3801,774
193,0,37,0.19,0.3782,780
194,0,8,0.19,0.3763,780
195,0,16,0.18,0.3744,781
196,0,39,0.18,0.3725,793
197,0,14,0.18,0.3707,794
198,0,10,0.18,0.3688,795
199,0,38,0.18,0.3670,798
200,0,13,0.17,0.3651,800
201,1,16,0.18,0.3633,803
202,0,7,0.18,0.3615,804
203,0,23,0.18,0.3597,810
204,0,26,0.17,0.3579,813
205,0,15,0.17,0.3561,814
206,2,47,0.17,0.3543,820
207,0,11,0.17,0.3525,820
208,0,27,0.16,0.3508,825
209,1,16,0.16,0.3490,827
210,0,6,0.16,0.3473,829
211,0,10,0.16,0.3455,830
212,0,5,0.16,0.3438,832
213,0,10,0.16,0.3421,833
214,0,15,0.15,0.3404,836
215,0,15,0.15,0.3387,837
216,0,8,0.14,0.3370,837
217,0,17,0.14,0.3353,838
218,1,18,0.15,0.3336,840
219,0,44,0.15,0.3320,840
220,0,20,0.15,0.3303,842
221,0,11,0.15,0.3286,844
222,0,12,0.15,0.3270,845
223,0,42,0.15,0.3254,857
224,0,10,0.12,0.3237,858
225,0,10,0.12,0.3221,860
226,0,13,0.11,0.3205,860
227,0,7,0.11,0.3189,860
228,0,38,0.11,0.3173,861
229,0,21,0.11,0.3157,862
230,0,15,0.11,0.3141,863
231,0,5,0.11,0.3126,864
232,0,27,0.11,0.3110,866
233,0,8,0.11,0.3095,867
234,1,15,0.12,0.3079,868
235,0,9,0.12,0.3064,868
236,0,23,0.12,0.3048,869
237,0,10,0.12,0.3033,870
238,0,24,0.12,0.3018,876
239,1,29,0.13,0.3003,883
240,0,19,0.13,0.2988,885
241,0,8,0.13,0.2973,885
242,0,9,0.13,0.2958,885
243,0,8,0.13,0.2943,885
244,0,8,0.13,0.2929,886
245,0,9,0.13,0.2914,886
246,0,19,0.13,0.2899,887
247,0,49,0.13,0.2885,889
248,0,7,0.13,0.2870,890
249,0,11,0.13,0.2856,890
250,0,9,0.13,0.2842,891
251,0,19,0.13,0.2828,894
252,0,10,0.13,0.2813,894
253,0,28,0.13,0.2799,896
254,0,10,0.13,0.2785,898
255,0,7,0.13,0.2771,898
256,0,15,0.13,0.2758,898
257,0,21,0.13,0.2744,901
258,0,12,0.13,0.2730,901
259,0,33,0.13,0.2716,907
260,1,12,0.14,0.2703,909
261,0,9,0.14,0.2689,910
262,0,7,0.14,0.2676,910
263,0,7,0.14,0.2663,912
264,0,23,0.13,0.2649,912
265,0,8,0.13,0.2636,912
266,0,14,0.13,0.2623,913
267,0,18,0.13,0.2610,915
268,1,13,0.14,0.2597,916
269,0,13,0.13,0.2584,916
270,0,26,0.13,0.2571,916
271,0,8,0.13,0.2558,916
272,0,9,0.13,0.2545,917
273,0,4,0.13,0.2532,917
274,0,13,0.13,0.2520,918
275,0,6,0.13,0.2507,918
276,0,7,0.13,0.2495,920
277,0,11,0.13,0.2482,921
278,0,12,0.13,0.2470,921
279,0,19,0.13,0.2457,921
280,0,19,0.13,0.2445,924
281,0,9,0.13,0.2433,926
282,0,16,0.13,0.2421,930
283,0,27,0.13,0.2409,932
284,0,27,0.13,0.2397,937
285,0,22,0.13,0.2385,939
286,0,16,0.12,0.2373,940
287,0,17,0.11,0.2361,940
288,0,16,0.11,0.2349,941
289,0,15,0.09,0.2337,941
290,1,7,0.10,0.2326,943
291,1,21,0.11,0.2314,946
292,0,7,0.11,0.2302,946
293,1,13,0.12,0.2291,949
294,0,9,0.12,0.2279,949
