Episode,Score,Steps,AvgScore,Epsilon
1,0,9,0.00,0.9950
2,1,28,0.50,0.9900
3,0,23,0.33,0.9851
4,0,51,0.25,0.9801
5,0,43,0.20,0.9752
6,0,23,0.17,0.9704
7,0,16,0.14,0.9655
8,1,18,0.25,0.9607
9,0,31,0.22,0.9559
10,1,25,0.30,0.9511
11,0,16,0.27,0.9464
12,0,38,0.25,0.9416
13,0,14,0.23,0.9369
14,0,14,0.21,0.9322
15,0,17,0.20,0.9276
16,0,15,0.19,0.9229
17,0,7,0.18,0.9183
18,0,19,0.17,0.9137
19,0,17,0.16,0.9092
20,0,13,0.15,0.9046
21,0,28,0.14,0.9001
22,0,18,0.14,0.8956
23,0,11,0.13,0.8911
24,0,36,0.12,0.8867
25,0,33,0.12,0.8822
26,0,15,0.12,0.8778
27,1,62,0.15,0.8734
28,0,34,0.14,0.8691
29,0,19,0.14,0.8647
30,0,21,0.13,0.8604
31,0,25,0.13,0.8561
32,0,6,0.12,0.8518
33,0,23,0.12,0.8475
34,0,38,0.12,0.8433
35,0,26,0.11,0.8391
36,0,14,0.11,0.8349
37,0,25,0.11,0.8307
38,0,26,0.11,0.8266
39,0,31,0.10,0.8224
40,0,10,0.10,0.8183
41,1,25,0.12,0.8142
42,0,30,0.12,0.8102
43,0,18,0.12,0.8061
44,0,34,0.11,0.8021
45,0,13,0.11,0.7981
46,0,10,0.11,0.7941
47,0,20,0.11,0.7901
48,0,19,0.10,0.7862
49,0,33,0.10,0.7822
50,0,17,0.10,0.7783
51,0,15,0.10,0.7744
52,0,7,0.10,0.7705
53,0,21,0.09,0.7667
54,0,23,0.09,0.7629
55,0,15,0.09,0.7590
56,0,23,0.09,0.7553
57,3,66,0.14,0.7515
58,0,28,0.14,0.7477
59,0,13,0.14,0.7440
60,0,7,0.13,0.7403
61,1,6,0.15,0.7366
62,1,32,0.16,0.7329
63,0,48,0.16,0.7292
64,0,23,0.16,0.7256
65,0,52,0.15,0.7219
66,0,10,0.15,0.7183
67,0,31,0.15,0.7147
68,0,14,0.15,0.7112
69,0,30,0.14,0.7076
70,0,39,0.14,0.7041
71,0,9,0.14,0.7005
72,0,7,0.14,0.6970
73,0,21,0.14,0.6936
74,0,23,0.14,0.6901
75,0,27,0.13,0.6866
76,0,11,0.13,0.6832
77,0,16,0.13,0.6798
78,0,7,0.13,0.6764
79,0,11,0.13,0.6730
80,1,43,0.14,0.6696
81,0,31,0.14,0.6663
82,0,9,0.13,0.6630
83,0,12,0.13,0.6597
84,1,32,0.14,0.6564
85,1,39,0.15,0.6531
86,0,27,0.15,0.6498
87,0,37,0.15,0.6466
88,1,28,0.16,0.6433
89,0,21,0.16,0.6401
90,0,75,0.16,0.6369
91,0,14,0.15,0.6337
92,0,22,0.15,0.6306
93,0,17,0.15,0.6274
94,0,28,0.15,0.6243
95,0,33,0.15,0.6211
96,0,59,0.15,0.6180
97,0,24,0.14,0.6149
98,0,11,0.14,0.6119
99,0,62,0.14,0.6088
100,0,36,0.14,0.6058
101,0,40,0.14,0.6027
102,0,10,0.13,0.5997
103,0,12,0.13,0.5967
104,0,16,0.13,0.5937
105,0,21,0.13,0.5908
106,0,20,0.13,0.5878
107,0,15,0.13,0.5849
108,0,27,0.12,0.5820
109,0,8,0.12,0.5790
110,0,20,0.11,0.5762
111,0,9,0.11,0.5733
112,0,49,0.11,0.5704
113,0,16,0.11,0.5676
114,0,37,0.11,0.5647
115,0,15,0.11,0.5619
116,1,20,0.12,0.5591
117,0,38,0.12,0.5563
118,1,24,0.13,0.5535
119,0,23,0.13,0.5507
120,0,16,0.13,0.5480
121,1,14,0.14,0.5452
122,1,49,0.15,0.5425
123,0,13,0.15,0.5398
124,1,25,0.16,0.5371
125,0,16,0.16,0.5344
126,0,24,0.16,0.5318
127,0,48,0.15,0.5291
128,0,38,0.15,0.5264
129,0,26,0.15,0.5238
130,0,14,0.15,0.5212
131,1,34,0.16,0.5186
132,0,20,0.16,0.5160
133,2,63,0.18,0.5134
134,0,16,0.18,0.5108
135,0,20,0.18,0.5083
136,2,37,0.20,0.5058
137,0,6,0.20,0.5032
138,0,42,0.20,0.5007
139,0,27,0.20,0.4982
140,0,18,0.20,0.4957
141,0,13,0.19,0.4932
142,0,10,0.19,0.4908
143,0,13,0.19,0.4883
144,0,19,0.19,0.4859
145,0,43,0.19,0.4834
146,1,36,0.20,0.4810
147,0,11,0.20,0.4786
148,1,21,0.21,0.4762
149,0,43,0.21,0.4738
150,0,18,0.21,0.4715
151,0,12,0.21,0.4691
152,0,7,0.21,0.4668
153,0,46,0.21,0.4644
154,0,7,0.21,0.4621
155,0,35,0.21,0.4598
156,0,17,0.21,0.4575
157,0,13,0.18,0.4552
158,0,14,0.18,0.4529
159,0,13,0.18,0.4507
160,0,14,0.18,0.4484
161,0,28,0.17,0.4462
162,0,41,0.16,0.4440
163,0,15,0.16,0.4417
164,0,6,0.16,0.4395
165,0,15,0.16,0.4373
166,0,27,0.16,0.4351
167,1,21,0.17,0.4330
168,2,22,0.19,0.4308
169,1,16,0.20,0.4286
170,1,26,0.21,0.4265
171,0,15,0.21,0.4244
172,0,18,0.21,0.4223
173,0,16,0.21,0.4201
174,0,10,0.21,0.4180
175,1,25,0.22,0.4159
176,0,36,0.22,0.4139
177,0,18,0.22,0.4118
178,1,24,0.23,0.4097
179,0,22,0.23,0.4077
180,3,57,0.25,0.4057
181,0,10,0.25,0.4036
182,0,6,0.25,0.4016
183,0,24,0.25,0.3996
184,0,17,0.24,0.3976
185,0,16,0.23,0.3956
186,0,6,0.23,0.3936
187,0,6,0.23,0.3917
188,0,28,0.22,0.3897
189,0,13,0.22,0.3878
190,1,40,0.23,0.3858
191,0,9,0.23,0.3839
192,0,41,0.23,0.3820
193,0,48,0.23,0.3801
194,0,10,0.23,0.3782
195,0,34,0.23,0.3763
196,0,37,0.23,0.3744
197,1,22,0.24,0.3725
198,0,11,0.24,0.3707
199,0,20,0.24,0.3688
200,0,7,0.24,0.3670
201,0,8,0.24,0.3651
202,0,5,0.24,0.3633
203,0,17,0.24,0.3615
204,0,21,0.24,0.3597
205,1,38,0.25,0.3579
206,0,7,0.25,0.3561
207,0,38,0.25,0.3543
208,0,22,0.25,0.3525
209,0,30,0.25,0.3508
210,0,12,0.25,0.3490
211,0,64,0.25,0.3473
212,0,18,0.25,0.3455
213,0,7,0.25,0.3438
214,1,15,0.26,0.3421
215,0,27,0.26,0.3404
216,0,19,0.25,0.3387
217,0,5,0.25,0.3370
218,0,25,0.24,0.3353
219,0,10,0.24,0.3336
220,0,19,0.24,0.3320
221,1,19,0.24,0.3303
222,0,14,0.23,0.3286
223,0,24,0.23,0.3270
224,0,6,0.22,0.3254
225,0,7,0.22,0.3237
226,0,19,0.22,0.3221
227,1,75,0.23,0.3205
228,0,26,0.23,0.3189
229,0,37,0.23,0.3173
