Episode,Score,Steps,AvgScore,Epsilon
230,0,24,0.23,0.3157
231,0,5,0.22,0.3141
232,1,47,0.23,0.3126
233,0,39,0.21,0.3110
234,1,7,0.22,0.3095
235,0,39,0.22,0.3079
236,1,49,0.21,0.3064
237,0,24,0.21,0.3048
238,0,23,0.21,0.3033
239,0,26,0.21,0.3018
240,0,20,0.21,0.3003
241,1,25,0.22,0.2988
242,1,32,0.23,0.2973
243,0,29,0.23,0.2958
244,1,26,0.24,0.2943
245,0,5,0.24,0.2929
246,0,12,0.23,0.2914
247,0,33,0.23,0.2899
248,0,22,0.22,0.2885
249,0,6,0.22,0.2870
250,3,59,0.25,0.2856
251,1,28,0.26,0.2842
252,0,21,0.26,0.2828
253,0,17,0.26,0.2813
254,0,21,0.26,0.2799
255,0,12,0.26,0.2785
256,1,26,0.27,0.2771
257,0,9,0.27,0.2758
258,0,23,0.27,0.2744
259,1,33,0.28,0.2730
260,0,32,0.28,0.2716
261,0,13,0.28,0.2703
262,0,27,0.28,0.2689
263,1,25,0.29,0.2676
264,0,11,0.29,0.2663
265,1,54,0.30,0.2649
266,0,15,0.30,0.2636
267,1,63,0.30,0.2623
268,0,24,0.28,0.2610
269,2,20,0.29,0.2597
270,0,5,0.28,0.2584
271,0,67,0.28,0.2571
272,2,62,0.30,0.2558
273,0,79,0.30,0.2545
274,0,24,0.30,0.2532
275,1,40,0.30,0.2520
276,0,45,0.30,0.2507
277,2,61,0.32,0.2495
278,0,200,0.31,0.2482
279,1,63,0.32,0.2470
280,1,35,0.30,0.2457
281,0,19,0.30,0.2445
282,1,35,0.31,0.2433
283,1,19,0.32,0.2421
284,1,20,0.33,0.2409
285,1,28,0.34,0.2397
286,0,12,0.34,0.2385
287,0,17,0.34,0.2373
288,0,82,0.34,0.2361
289,0,8,0.34,0.2349
290,4,48,0.37,0.2337
291,0,11,0.37,0.2326
292,0,10,0.37,0.2314
293,0,14,0.37,0.2302
294,0,41,0.37,0.2291
295,0,33,0.37,0.2279
296,0,15,0.37,0.2268
297,0,13,0.36,0.2257
298,1,48,0.37,0.2245
299,0,19,0.37,0.2234
300,1,18,0.38,0.2223
301,0,8,0.38,0.2212
302,0,14,0.38,0.2201
303,0,22,0.38,0.2190
304,0,9,0.38,0.2179
305,0,10,0.37,0.2168
306,0,9,0.37,0.2157
307,0,13,0.37,0.2146
308,0,33,0.37,0.2136
309,0,7,0.37,0.2125
310,1,45,0.38,0.2114
311,0,17,0.38,0.2104
312,0,15,0.38,0.2093
313,0,15,0.38,0.2083
314,0,25,0.37,0.2072
315,0,16,0.37,0.2062
316,2,39,0.39,0.2052
317,1,29,0.40,0.2041
318,1,85,0.41,0.2031
319,1,20,0.42,0.2021
320,0,14,0.42,0.2011
321,1,23,0.42,0.2001
322,0,32,0.42,0.1991
323,0,14,0.42,0.1981
324,1,84,0.43,0.1971
325,0,27,0.43,0.1961
326,0,16,0.43,0.1951
327,1,106,0.43,0.1942
328,1,35,0.44,0.1932
329,0,12,0.44,0.1922
330,3,162,0.47,0.1913
331,1,33,0.48,0.1903
332,0,12,0.47,0.1893
333,0,40,0.47,0.1884
334,0,8,0.46,0.1875
335,1,30,0.47,0.1865
336,0,24,0.46,0.1856
337,2,44,0.48,0.1847
338,1,12,0.49,0.1837
339,0,39,0.49,0.1828
340,0,56,0.49,0.1819
341,0,12,0.48,0.1810
342,1,51,0.48,0.1801
343,1,58,0.49,0.1792
344,1,31,0.49,0.1783
345,0,30,0.49,0.1774
346,0,49,0.49,0.1765
347,0,14,0.49,0.1756
348,1,15,0.50,0.1748
349,0,9,0.50,0.1739
350,2,66,0.49,0.1730
351,1,13,0.49,0.1721
352,0,100,0.49,0.1713
353,0,9,0.49,0.1704
354,0,24,0.49,0.1696
355,1,92,0.50,0.1687
356,1,32,0.50,0.1679
357,0,41,0.50,0.1670
358,1,17,0.51,0.1662
359,0,18,0.50,0.1654
360,0,58,0.50,0.1646
361,0,5,0.50,0.1637
362,1,34,0.51,0.1629
363,2,76,0.52,0.1621
364,1,83,0.53,0.1613
365,0,54,0.52,0.1605
366,1,76,0.53,0.1597
367,0,19,0.52,0.1589
368,1,15,0.53,0.1581
369,5,70,0.56,0.1573
370,0,6,0.56,0.1565
371,1,77,0.57,0.1557
372,5,148,0.60,0.1549
373,0,10,0.60,0.1542
374,4,63,0.64,0.1534
375,0,20,0.63,0.1526
376,0,9,0.63,0.1519
377,0,36,0.61,0.1511
378,3,50,0.64,0.1504
379,0,23,0.63,0.1496
380,1,30,0.63,0.1489
381,4,118,0.67,0.1481
382,0,23,0.66,0.1474
383,2,63,0.67,0.1466
384,0,11,0.66,0.1459
385,3,82,0.68,0.1452
386,2,32,0.70,0.1444
387,2,16,0.72,0.1437
388,1,14,0.73,0.1430
389,3,42,0.76,0.1423
390,0,23,0.72,0.1416
391,0,12,0.72,0.1409
392,0,11,0.72,0.1402
393,4,33,0.76,0.1395
394,3,179,0.79,0.1388
395,3,177,0.82,0.1381
396,4,92,0.86,0.1374
397,4,76,0.90,0.1367
398,0,10,0.89,0.1360
399,0,91,0.89,0.1353
400,1,22,0.89,0.1347
401,0,16,0.89,0.1340
402,2,31,0.91,0.1333
403,0,22,0.91,0.1326
404,1,9,0.92,0.1320
405,0,12,0.92,0.1313
406,0,34,0.92,0.1307
407,1,7,0.93,0.1300
408,2,65,0.95,0.1294
409,1,29,0.96,0.1287
410,0,8,0.95,0.1281
411,6,190,1.01,0.1274
412,2,47,1.03,0.1268
413,2,49,1.05,0.1262
414,2,173,1.07,0.1255
415,0,13,1.07,0.1249
416,5,138,1.10,0.1243
417,0,33,1.09,0.1237
418,4,45,1.12,0.1230
419,2,100,1.13,0.1224
420,0,6,1.13,0.1218
421,3,33,1.15,0.1212
422,1,8,1.16,0.1206
423,1,26,1.17,0.1200
424,1,20,1.17,0.1194
425,1,85,1.18,0.1188
426,3,37,1.21,0.1182
427,3,33,1.23,0.1176
428,3,81,1.25,0.1170
429,0,13,1.25,0.1164
430,2,82,1.24,0.1159
431,1,16,1.24,0.1153
432,0,12,1.24,0.1147
433,4,74,1.28,0.1141
434,1,122,1.29,0.1136
435,1,14,1.29,0.1130
436,0,7,1.29,0.1124
437,0,38,1.27,0.1119
438,2,23,1.28,0.1113
439,0,21,1.28,0.1107
440,3,88,1.31,0.1102
441,0,4,1.31,0.1096
442,3,57,1.33,0.1091
443,2,14,1.34,0.1085
444,1,10,1.34,0.1080
445,4,93,1.38,0.1075
446,2,35,1.40,0.1069
447,2,32,1.42,0.1064
448,0,11,1.41,0.1059
449,0,5,1.41,0.1053
450,1,27,1.40,0.1048
451,1,14,1.40,0.1043
452,2,21,1.42,0.1038
453,0,6,1.42,0.1032
454,1,24,1.43,0.1027
455,1,32,1.43,0.1022
456,6,157,1.48,0.1017
457,6,146,1.54,0.1012
458,1,18,1.54,0.1007
459,3,124,1.57,0.1002
460,0,10,1.57,0.0997
461,1,30,1.58,0.0992
462,1,19,1.58,0.0987
463,1,47,1.57,0.0982
464,3,60,1.59,0.0977
465,0,37,1.59,0.0972
466,4,51,1.62,0.0967
467,0,18,1.62,0.0962
468,4,55,1.65,0.0958
469,2,35,1.62,0.0953
470,0,10,1.62,0.0948
471,9,131,1.70,0.0943
472,6,162,1.71,0.0939
473,1,12,1.72,0.0934
474,3,38,1.71,0.0929
475,2,59,1.73,0.0925
476,4,49,1.77,0.0920
477,1,24,1.78,0.0915
478,0,17,1.75,0.0911
479,3,68,1.78,0.0906
480,6,155,1.83,0.0902
481,3,66,1.82,0.0897
482,5,63,1.87,0.0893
483,1,34,1.86,0.0888
484,1,9,1.87,0.0884
485,4,106,1.88,0.0879
486,0,11,1.86,0.0875
487,6,81,1.90,0.0871
488,0,6,1.89,0.0866
489,13,188,1.99,0.0862
490,3,30,2.02,0.0858
491,1,23,2.03,0.0853
492,3,40,2.06,0.0849
493,14,271,2.16,0.0845
494,0,8,2.13,0.0841
495,2,19,2.12,0.0836
496,6,106,2.14,0.0832
497,0,4,2.10,0.0828
498,1,26,2.11,0.0824
499,5,92,2.16,0.0820
500,2,15,2.17,0.0816
501,1,48,2.18,0.0812
502,2,28,2.18,0.0808
503,2,25,2.20,0.0804
504,1,22,2.20,0.0800
505,5,58,2.25,0.0796
506,5,76,2.30,0.0792
507,3,51,2.32,0.0788
508,4,43,2.34,0.0784
509,11,131,2.44,0.0780
510,1,25,2.45,0.0776
511,3,61,2.42,0.0772
512,1,29,2.41,0.0768
513,1,59,2.40,0.0764
514,6,153,2.44,0.0760
515,3,42,2.47,0.0757
516,0,12,2.42,0.0753
517,2,19,2.44,0.0749
518,9,143,2.49,0.0745
519,2,25,2.49,0.0742
520,1,31,2.50,0.0738
521,7,91,2.54,0.0734
522,7,75,2.60,0.0731
523,6,71,2.65,0.0727
524,5,110,2.69,0.0723
525,5,46,2.73,0.0720
526,9,131,2.79,0.0716
527,8,199,2.84,0.0712
528,5,135,2.86,0.0709
529,3,51,2.89,0.0705
530,1,9,2.88,0.0702
531,5,65,2.92,0.0698
532,6,125,2.98,0.0695
533,2,20,2.96,0.0691
534,2,31,2.97,0.0688
535,6,78,3.02,0.0684
536,7,78,3.09,0.0681
537,5,76,3.14,0.0678
538,1,23,3.13,0.0674
539,6,88,3.19,0.0671
540,7,65,3.23,0.0668
541,7,89,3.30,0.0664
542,9,165,3.36,0.0661
543,7,111,3.41,0.0658
544,2,43,3.42,0.0654
545,12,229,3.50,0.0651
546,4,68,3.52,0.0648
547,5,117,3.55,0.0645
548,0,78,3.55,0.0641
549,3,40,3.58,0.0638
550,1,17,3.58,0.0635
551,3,66,3.60,0.0632
552,1,19,3.59,0.0629
553,1,64,3.60,0.0625
554,4,41,3.63,0.0622
555,14,201,3.76,0.0619
556,4,84,3.74,0.0616
557,9,104,3.77,0.0613
558,6,73,3.82,0.0610
559,10,81,3.89,0.0607
560,0,10,3.89,0.0604
561,10,86,3.98,0.0601
562,7,155,4.04,0.0598
563,1,19,4.04,0.0595
564,4,49,4.05,0.0592
565,5,58,4.10,0.0589
566,3,48,4.09,0.0586
567,6,81,4.15,0.0583
568,1,9,4.12,0.0580
569,9,107,4.19,0.0577
570,9,156,4.28,0.0574
571,2,21,4.21,0.0571
572,7,88,4.22,0.0569
573,6,65,4.27,0.0566
574,4,30,4.28,0.0563
575,2,45,4.28,0.0560
576,0,12,4.24,0.0557
577,7,114,4.30,0.0555
578,13,157,4.43,0.0552
579,6,57,4.46,0.0549
580,7,91,4.47,0.0546
581,0,8,4.44,0.0544
582,6,95,4.45,0.0541
583,1,22,4.45,0.0538
584,12,178,4.56,0.0535
585,4,44,4.56,0.0533
586,2,23,4.58,0.0530
587,9,98,4.61,0.0527
588,3,66,4.64,0.0525
589,6,48,4.57,0.0522
590,4,52,4.58,0.0520
591,0,4,4.57,0.0517
592,3,55,4.57,0.0514
593,4,56,4.47,0.0512
594,0,10,4.47,0.0509
595,3,41,4.48,0.0507
596,6,113,4.48,0.0504
597,0,11,4.48,0.0502
598,4,40,4.51,0.0499
599,2,20,4.48,0.0497
600,11,132,4.57,0.0494
601,4,40,4.60,0.0492
602,6,66,4.64,0.0489
603,4,52,4.66,0.0487
604,6,69,4.71,0.0484
605,3,76,4.69,0.0482
606,14,172,4.78,0.0479
607,2,38,4.77,0.0477
608,3,45,4.76,0.0475
609,0,4,4.65,0.0472
610,5,63,4.69,0.0470
611,16,271,4.82,0.0468
612,2,17,4.83,0.0465
613,4,44,4.86,0.0463
614,3,22,4.83,0.0461
615,4,34,4.84,0.0458
616,1,23,4.85,0.0456
617,12,105,4.95,0.0454
618,6,87,4.92,0.0452
619,3,41,4.93,0.0449
620,4,45,4.96,0.0447
621,14,222,5.03,0.0445
622,14,174,5.10,0.0443
623,8,108,5.12,0.0440
624,8,49,5.15,0.0438
625,2,24,5.12,0.0436
626,12,107,5.15,0.0434
627,9,125,5.16,0.0432
628,3,41,5.14,0.0429
629,4,44,5.15,0.0427
630,9,101,5.23,0.0425
631,10,234,5.28,0.0423
632,6,76,5.28,0.0421
633,5,57,5.31,0.0419
634,1,11,5.30,0.0417
635,6,66,5.30,0.0415
636,8,76,5.31,0.0413
637,12,176,5.38,0.0410
638,5,67,5.42,0.0408
639,7,72,5.43,0.0406
640,8,109,5.44,0.0404
641,4,38,5.41,0.0402
642,1,8,5.33,0.0400
643,2,44,5.28,0.0398
644,0,7,5.26,0.0396
645,4,52,5.18,0.0394
646,4,31,5.18,0.0392
647,0,9,5.13,0.0390
648,2,9,5.15,0.0388
649,7,72,5.19,0.0387
650,10,130,5.28,0.0385
651,2,36,5.27,0.0383
652,4,28,5.30,0.0381
653,19,240,5.48,0.0379
654,10,108,5.54,0.0377
655,6,70,5.46,0.0375
656,3,57,5.45,0.0373
657,3,99,5.39,0.0371
658,14,165,5.47,0.0369
659,8,88,5.45,0.0368
660,1,10,5.46,0.0366
661,1,22,5.37,0.0364
662,15,146,5.45,0.0362
663,4,40,5.48,0.0360
664,2,22,5.46,0.0359
665,11,177,5.52,0.0357
666,10,135,5.59,0.0355
667,4,49,5.57,0.0353
668,14,175,5.70,0.0351
669,8,68,5.69,0.0350
670,5,56,5.65,0.0348
671,10,98,5.73,0.0346
672,6,72,5.72,0.0344
673,6,86,5.72,0.0343
674,14,146,5.82,0.0341
675,8,93,5.88,0.0339
676,8,83,5.96,0.0338
677,9,137,5.98,0.0336
678,1,17,5.86,0.0334
679,4,48,5.84,0.0333
680,10,102,5.87,0.0331
681,0,17,5.87,0.0329
682,10,142,5.91,0.0328
683,13,118,6.03,0.0326
684,12,139,6.03,0.0324
685,18,195,6.17,0.0323
686,4,50,6.19,0.0321
687,7,139,6.17,0.0319
688,11,128,6.25,0.0318
689,9,102,6.28,0.0316
690,2,23,6.26,0.0315
691,1,12,6.27,0.0313
692,11,115,6.35,0.0312
693,6,69,6.37,0.0310
694,14,139,6.51,0.0308
695,7,62,6.55,0.0307
696,7,71,6.56,0.0305
697,7,79,6.63,0.0304
698,22,317,6.81,0.0302
699,5,61,6.84,0.0301
700,5,48,6.78,0.0299
701,13,131,6.87,0.0298
702,2,34,6.83,0.0296
703,17,212,6.96,0.0295
704,5,71,6.95,0.0293
705,10,118,7.02,0.0292
706,9,117,6.97,0.0290
707,5,65,7.00,0.0289
708,15,203,7.12,0.0288
709,5,55,7.17,0.0286
710,1,9,7.13,0.0285
711,2,37,6.99,0.0283
712,9,135,7.06,0.0282
713,21,271,7.23,0.0280
714,16,151,7.36,0.0279
715,8,90,7.40,0.0278
716,4,51,7.43,0.0276
717,5,72,7.36,0.0275
718,2,15,7.32,0.0274
719,6,81,7.35,0.0272
720,4,43,7.35,0.0271
721,2,16,7.23,0.0269
722,13,120,7.22,0.0268
723,3,39,7.17,0.0267
724,15,140,7.24,0.0265
725,12,115,7.34,0.0264
726,5,60,7.27,0.0263
727,10,117,7.28,0.0261
728,14,141,7.39,0.0260
729,17,155,7.52,0.0259
730,9,105,7.52,0.0258
731,12,106,7.54,0.0256
732,5,49,7.53,0.0255
733,4,55,7.52,0.0254
734,1,19,7.52,0.0252
735,10,79,7.56,0.0251
736,4,46,7.52,0.0250
737,11,130,7.51,0.0249
738,6,70,7.52,0.0247
739,0,4,7.45,0.0246
740,9,112,7.46,0.0245
741,18,170,7.60,0.0244
742,18,214,7.77,0.0243
743,11,172,7.86,0.0241
744,14,176,8.00,0.0240
745,11,113,8.07,0.0239
746,3,37,8.06,0.0238
747,4,57,8.10,0.0237
748,1,13,8.09,0.0235
749,11,120,8.13,0.0234
750,5,43,8.08,0.0233
751,13,123,8.19,0.0232
752,8,89,8.23,0.0231
753,9,134,8.13,0.0229
754,6,83,8.09,0.0228
755,6,53,8.09,0.0227
756,8,98,8.14,0.0226
757,13,99,8.24,0.0225
758,23,301,8.33,0.0224
759,1,16,8.26,0.0223
760,2,23,8.27,0.0222
761,7,60,8.33,0.0220
762,18,174,8.36,0.0219
763,19,199,8.51,0.0218
764,10,103,8.59,0.0217
765,15,179,8.63,0.0216
766,12,133,8.65,0.0215
767,21,189,8.82,0.0214
768,3,22,8.71,0.0213
769,4,32,8.67,0.0212
770,11,139,8.73,0.0211
771,14,152,8.77,0.0210
772,5,58,8.76,0.0209
773,6,72,8.76,0.0208
774,18,178,8.80,0.0207
775,15,149,8.87,0.0206
776,3,31,8.82,0.0205
777,7,78,8.80,0.0203
778,14,171,8.93,0.0202
779,5,46,8.94,0.0201
780,18,179,9.02,0.0200
781,13,154,9.15,0.0199
782,1,10,9.06,0.0198
783,7,71,9.00,0.0197
784,13,112,9.01,0.0196
785,8,81,8.91,0.0195
786,3,26,8.90,0.0195
787,8,136,8.91,0.0194
788,12,115,8.92,0.0193
789,12,84,8.95,0.0192
790,17,178,9.10,0.0191
791,13,110,9.22,0.0190
792,8,96,9.19,0.0189
793,20,217,9.33,0.0188
794,7,103,9.26,0.0187
795,10,94,9.29,0.0186
796,6,61,9.28,0.0185
797,13,128,9.34,0.0184
798,8,95,9.20,0.0183
799,10,87,9.25,0.0182
800,12,102,9.32,0.0181
801,8,71,9.27,0.0180
802,8,122,9.33,0.0180
803,19,194,9.35,0.0179
804,7,75,9.37,0.0178
805,13,126,9.40,0.0177
806,2,16,9.33,0.0176
807,17,196,9.45,0.0175
808,16,223,9.46,0.0174
809,7,97,9.48,0.0173
810,7,100,9.54,0.0172
811,7,66,9.59,0.0172
812,13,141,9.63,0.0171
813,11,114,9.53,0.0170
814,15,139,9.52,0.0169
815,14,139,9.58,0.0168
816,7,72,9.61,0.0167
817,6,59,9.62,0.0167
818,9,110,9.69,0.0166
819,23,222,9.86,0.0165
820,10,79,9.92,0.0164
821,25,290,10.15,0.0163
822,15,157,10.17,0.0162
823,20,236,10.34,0.0162
824,4,35,10.23,0.0161
825,9,81,10.20,0.0160
826,10,101,10.25,0.0159
827,3,35,10.18,0.0158
828,21,249,10.25,0.0158
829,10,91,10.18,0.0157
830,7,65,10.16,0.0156
831,25,228,10.29,0.0155
832,6,70,10.30,0.0154
833,27,227,10.53,0.0154
834,8,78,10.60,0.0153
835,10,97,10.60,0.0152
836,11,128,10.67,0.0151
837,6,59,10.62,0.0151
838,14,123,10.70,0.0150
839,3,38,10.73,0.0149
840,22,248,10.86,0.0148
841,13,122,10.81,0.0148
842,23,210,10.86,0.0147
843,0,5,10.75,0.0146
844,5,71,10.66,0.0145
845,13,123,10.68,0.0145
846,15,174,10.80,0.0144
847,11,128,10.87,0.0143
848,4,44,10.90,0.0143
849,15,203,10.94,0.0142
850,1,7,10.90,0.0141
851,3,29,10.80,0.0140
852,4,30,10.76,0.0140
853,11,113,10.78,0.0139
854,8,91,10.80,0.0138
855,17,177,10.91,0.0138
856,16,158,10.99,0.0137
857,15,160,11.01,0.0136
858,13,199,10.91,0.0136
859,7,70,10.97,0.0135
860,3,25,10.98,0.0134
861,9,93,11.00,0.0134
862,2,38,10.84,0.0133
863,7,62,10.72,0.0132
864,23,262,10.85,0.0132
865,13,143,10.83,0.0131
866,12,155,10.83,0.0130
867,12,135,10.74,0.0130
868,2,27,10.73,0.0129
869,4,40,10.73,0.0128
870,13,184,10.75,0.0128
871,5,35,10.66,0.0127
872,9,96,10.70,0.0126
873,13,114,10.77,0.0126
874,2,24,10.61,0.0125
875,1,15,10.47,0.0125
876,35,369,10.79,0.0124
877,13,99,10.85,0.0123
878,2,24,10.73,0.0123
879,14,167,10.82,0.0122
880,6,57,10.70,0.0121
881,14,145,10.71,0.0121
882,1,21,10.71,0.0120
883,2,27,10.66,0.0120
884,10,103,10.63,0.0119
885,10,83,10.65,0.0118
886,15,123,10.77,0.0118
887,6,57,10.75,0.0117
888,12,119,10.75,0.0117
889,14,112,10.77,0.0116
890,2,15,10.62,0.0115
891,12,101,10.61,0.0115
892,22,213,10.75,0.0114
893,13,138,10.68,0.0114
894,3,55,10.64,0.0113
895,22,218,10.76,0.0113
896,2,19,10.72,0.0112
897,15,157,10.74,0.0112
898,11,140,10.77,0.0111
899,14,121,10.81,0.0110
900,7,73,10.76,0.0110
901,9,108,10.77,0.0109
902,5,50,10.74,0.0109
903,10,119,10.65,0.0108
904,7,68,10.65,0.0108
905,14,145,10.66,0.0107
906,9,86,10.73,0.0107
907,7,70,10.63,0.0106
908,31,312,10.78,0.0106
909,4,44,10.75,0.0105
910,20,218,10.88,0.0104
911,16,143,10.97,0.0104
912,7,87,10.91,0.0103
913,13,111,10.93,0.0103
914,3,22,10.81,0.0102
915,0,4,10.67,0.0102
916,4,37,10.64,0.0101
917,7,75,10.65,0.0101
918,18,230,10.74,0.0100
919,11,105,10.62,0.0100
920,16,162,10.68,0.0100
921,18,210,10.61,0.0100
922,21,227,10.67,0.0100
923,3,29,10.50,0.0100
924,4,30,10.50,0.0100
925,3,31,10.44,0.0100
926,15,155,10.49,0.0100
927,20,222,10.66,0.0100
928,18,223,10.63,0.0100
929,4,45,10.57,0.0100
930,20,226,10.70,0.0100
