Episode,Score,Steps,AvgScore,Epsilon,QStates
186,0,31,0.11,0.9815,788
187,0,16,0.11,0.9814,788
188,0,7,0.11,0.9813,788
189,0,12,0.11,0.9812,788
190,0,13,0.11,0.9811,788
191,0,14,0.11,0.9810,792
192,0,17,0.11,0.9809,794
193,0,18,0.11,0.9808,795
194,0,13,0.11,0.9807,795
195,0,7,0.11,0.9806,795
196,0,8,0.11,0.9805,796
197,0,21,0.11,0.9804,798
198,0,16,0.11,0.9803,798
199,0,13,0.11,0.9802,802
200,0,25,0.11,0.9801,806
201,0,26,0.11,0.9800,810
202,0,10,0.11,0.9799,811
203,0,11,0.11,0.9798,812
204,0,19,0.11,0.9797,818
205,0,13,0.11,0.9796,825
206,0,33,0.10,0.9795,830
207,0,56,0.10,0.9794,832
208,0,8,0.10,0.9793,832
209,0,7,0.10,0.9792,832
210,0,9,0.10,0.9791,832
211,1,34,0.11,0.9790,840
212,1,14,0.12,0.9789,843
213,0,19,0.12,0.9788,845
214,1,17,0.13,0.9787,849
215,0,15,0.13,0.9786,850
216,0,38,0.13,0.9785,853
217,1,9,0.14,0.9784,857
218,0,8,0.14,0.9783,858
219,0,6,0.14,0.9782,858
220,0,7,0.14,0.9781,858
221,0,11,0.14,0.9780,861
222,0,13,0.13,0.9779,862
223,0,5,0.13,0.9778,864
224,0,15,0.13,0.9778,866
225,0,51,0.13,0.9777,870
226,0,15,0.13,0.9776,875
227,0,39,0.13,0.9775,876
228,1,20,0.14,0.9774,878
229,1,7,0.15,0.9773,879
230,0,27,0.15,0.9772,882
231,0,13,0.15,0.9771,883
232,0,26,0.15,0.9770,886
233,0,21,0.15,0.9769,888
234,0,14,0.15,0.9768,888
235,0,12,0.14,0.9767,889
236,0,7,0.14,0.9766,889
237,1,24,0.15,0.9765,894
238,0,12,0.15,0.9764,896
239,0,7,0.15,0.9763,896
240,0,19,0.15,0.9762,898
241,1,20,0.15,0.9761,900
242,0,26,0.15,0.9760,903
243,0,9,0.15,0.9759,904
244,0,16,0.15,0.9758,904
245,0,12,0.15,0.9757,905
246,0,8,0.14,0.9756,905
247,1,13,0.15,0.9755,907
248,0,5,0.15,0.9754,907
249,0,30,0.15,0.9753,914
250,0,14,0.14,0.9752,916
251,0,6,0.14,0.9751,918
252,0,13,0.14,0.9750,918
253,0,53,0.14,0.9749,929
254,0,53,0.14,0.9748,945
255,0,14,0.14,0.9747,945
256,0,15,0.13,0.9746,947
257,0,14,0.13,0.9745,949
258,0,9,0.13,0.9744,949
259,0,19,0.13,0.9743,954
260,1,15,0.14,0.9742,956
261,0,28,0.13,0.9741,958
262,0,19,0.13,0.9740,959
263,0,38,0.13,0.9739,959
264,0,19,0.13,0.9738,960
265,0,10,0.13,0.9737,961
266,0,5,0.13,0.9737,961
267,0,30,0.13,0.9736,964
268,0,31,0.13,0.9735,968
269,0,21,0.13,0.9734,970
270,0,8,0.13,0.9733,970
271,0,18,0.13,0.9732,970
272,0,30,0.13,0.9731,970
273,0,41,0.13,0.9730,973
274,0,25,0.13,0.9729,979
275,1,23,0.14,0.9728,979
276,0,17,0.14,0.9727,981
277,0,39,0.14,0.9726,983
278,0,13,0.14,0.9725,983
279,1,19,0.14,0.9724,987
280,0,18,0.13,0.9723,988
281,0,20,0.13,0.9722,988
282,0,5,0.13,0.9721,989
283,0,9,0.13,0.9720,989
284,0,12,0.12,0.9719,991
285,0,7,0.12,0.9718,991
286,0,28,0.12,0.9717,996
287,1,42,0.13,0.9716,1000
288,0,26,0.13,0.9715,1003
289,1,6,0.14,0.9714,1004
290,0,11,0.14,0.9713,1006
291,0,18,0.14,0.9712,1009
292,0,26,0.14,0.9711,1010
293,1,30,0.15,0.9710,1011
294,0,14,0.15,0.9709,1011
295,0,32,0.15,0.9708,1014
296,0,9,0.15,0.9707,1014
297,1,17,0.16,0.9706,1020
298,0,7,0.16,0.9705,1020
299,1,14,0.17,0.9704,1022
300,0,26,0.17,0.9703,1024
301,0,29,0.17,0.9702,1024
302,0,33,0.17,0.9702,1024
303,0,8,0.17,0.9701,1025
304,0,20,0.17,0.9700,1031
305,0,6,0.17,0.9699,1031
306,0,19,0.17,0.9698,1033
307,0,27,0.17,0.9697,1035
308,0,6,0.17,0.9696,1035
309,0,11,0.17,0.9695,1035
310,0,17,0.17,0.9694,1036
311,0,15,0.16,0.9693,1037
312,0,14,0.15,0.9692,1037
313,0,18,0.15,0.9691,1038
314,0,14,0.14,0.9690,1038
315,0,26,0.14,0.9689,1046
316,0,10,0.14,0.9688,1046
317,0,11,0.13,0.9687,1047
318,0,7,0.13,0.9686,1047
319,0,22,0.13,0.9685,1047
320,0,14,0.13,0.9684,1047
321,0,34,0.13,0.9683,1053
322,1,11,0.14,0.9682,1053
323,0,22,0.14,0.9681,1054
324,0,14,0.14,0.9680,1056
325,0,15,0.14,0.9679,1059
326,0,8,0.14,0.9678,1061
327,0,21,0.14,0.9677,1063
328,1,14,0.14,0.9676,1067
329,0,8,0.13,0.9675,1067
330,0,7,0.13,0.9674,1067
331,0,7,0.13,0.9673,1067
332,0,29,0.13,0.9672,1069
333,0,19,0.13,0.9672,1072
334,0,13,0.13,0.9671,1074
335,0,11,0.13,0.9670,1076
336,0,14,0.13,0.9669,1081
337,0,24,0.12,0.9668,1086
