Episode,Agent1Reward,Agent2Reward,Agent1AvgR,Agent2AvgR,Agent1Wins,Agent2Wins,Steps,Epsilon
0,-1.7,23.300000000000004,2.308,10.208,452,658,17,0.0100
1,2.9,-2.099999999999996,2.308,10.208,452,659,21,0.0100
2,2.4999999999999996,7.499999999999991,2.308,10.208,452,660,25,0.0100
3,-4.799999999999985,0.20000000000000107,2.308,10.208,453,660,48,0.0100
4,8.900000000000018,3.899999999999988,2.308,10.208,453,661,61,0.0100
5,4.4999999999999645,-0.49999999999999645,2.308,10.208,454,661,55,0.0100
6,-2.4000000000000004,12.600000000000005,2.308,10.208,454,661,24,0.0100
7,10.30000000000001,5.29999999999999,2.308,10.208,454,662,47,0.0100
8,21.299999999999997,-3.6999999999999886,2.308,10.208,455,662,37,0.0100
9,21.400000000000006,6.399999999999993,2.308,10.208,455,662,36,0.0100
10,-1.3999999999999997,23.6,2.308,10.208,455,663,14,0.0100
11,22.500000000000007,-2.499999999999977,2.308,10.208,456,663,125,0.0100
12,-14.7,20.29999999999997,2.308,10.208,456,664,47,0.0100
13,-10.799999999999999,14.200000000000001,2.308,10.208,456,665,8,0.0100
14,14.700000000000033,-20.29999999999998,2.308,10.208,457,665,103,0.0100
15,-3.599999999999989,1.3999999999999986,2.308,10.208,458,665,36,0.0100
16,21.999999999999964,17.000000000000007,2.308,10.208,459,665,80,0.0100
17,17.00000000000003,-7.9999999999999964,2.308,10.208,460,665,80,0.0100
18,-0.5999999999999996,14.4,2.308,10.208,460,665,6,0.0100
19,26.399999999999977,-8.599999999999987,2.308,10.208,461,665,86,0.0100
20,9.800000000000043,-25.19999999999996,2.913,10.213,462,665,152,0.0100
21,10.600000000000012,25.599999999999966,2.913,10.213,462,666,44,0.0100
22,-11.7,3.3,2.913,10.213,462,666,17,0.0100
23,2.3999999999999995,-12.600000000000001,2.913,10.213,462,666,26,0.0100
24,0.10000000000001563,0.10000000000001208,2.913,10.213,462,666,199,0.0100
25,20.89999999999996,-4.1000000000000005,2.913,10.213,463,666,41,0.0100
26,3.3,-11.7,2.913,10.213,463,666,17,0.0100
27,-0.6999999999999996,14.3,2.913,10.213,463,666,7,0.0100
28,-8.299999999999994,1.7000000000000153,2.913,10.213,463,667,83,0.0100
29,-4.899999999999996,10.100000000000012,2.913,10.213,463,667,49,0.0100
30,-12.700000000000001,12.3,2.913,10.213,463,668,27,0.0100
31,14.399999999999986,29.39999999999995,2.913,10.213,463,668,56,0.0100
32,-10.9,14.100000000000001,2.913,10.213,463,669,9,0.0100
33,-2.2999999999999954,2.6999999999999997,2.913,10.213,464,669,23,0.0100
34,-1.8999999999999968,23.100000000000005,2.913,10.213,464,670,19,0.0100
35,-1.1999999999999975,3.8000000000000007,2.913,10.213,465,670,12,0.0100
36,-16.79999999999999,28.200000000000017,2.913,10.213,465,671,68,0.0100
37,-14.200000000000001,20.800000000000008,2.913,10.213,465,672,42,0.0100
38,-2.399999999999997,12.600000000000007,2.913,10.213,465,672,24,0.0100
39,3.300000000000005,38.29999999999995,2.913,10.213,465,673,67,0.0100
40,3.9000000000000004,-1.0999999999999979,2.696,9.596,465,674,11,0.0100
41,14.400000000000027,9.400000000000015,2.696,9.596,465,675,106,0.0100
42,11.1,26.09999999999996,2.696,9.596,465,676,39,0.0100
43,-12.5,12.500000000000007,2.696,9.596,465,677,25,0.0100
44,4.700000000000003,19.7,2.696,9.596,465,677,53,0.0100
45,12.700000000000006,-12.3,2.696,9.596,466,677,23,0.0100
46,-1.9999999999999964,23.000000000000007,2.696,9.596,466,678,20,0.0100
47,13.800000000000002,-11.2,2.696,9.596,467,678,12,0.0100
48,5.5,0.5,2.696,9.596,468,678,45,0.0100
49,18.20000000000001,43.19999999999999,2.696,9.596,468,679,68,0.0100
50,44.69999999999993,-10.299999999999983,2.696,9.596,469,679,103,0.0100
51,0.10000000000000142,-4.899999999999984,2.696,9.596,469,680,49,0.0100
52,12.499999999999995,37.49999999999991,2.696,9.596,469,681,75,0.0100
53,-0.4999999999999982,4.5,2.696,9.596,470,681,5,0.0100
54,5.900000000000014,40.89999999999993,2.696,9.596,470,682,91,0.0100
55,16.900000000000013,31.89999999999985,2.696,9.596,470,682,131,0.0100
56,2.100000000000019,47.099999999999916,2.696,9.596,470,683,79,0.0100
57,-4.499999999999977,10.500000000000044,2.696,9.596,470,684,195,0.0100
58,-1.6999999999999957,3.3,2.696,9.596,471,684,17,0.0100
59,-1.599999999999996,3.4000000000000004,2.696,9.596,472,684,16,0.0100
60,24.199999999999953,29.199999999999946,3.845,9.745,473,684,58,0.0100
61,-7.899999999999988,37.099999999999966,3.845,9.745,473,685,79,0.0100
62,-4.899999999999997,20.10000000000001,3.845,9.745,473,686,49,0.0100
63,-2.4000000000000004,22.60000000000001,3.845,9.745,473,687,24,0.0100
64,-4.199999999999992,10.800000000000011,3.845,9.745,473,687,42,0.0100
65,18.300000000000008,13.299999999999967,3.845,9.745,473,688,67,0.0100
66,10.100000000000009,-14.899999999999984,3.845,9.745,474,688,149,0.0100
67,-7.299999999999994,37.699999999999925,3.845,9.745,474,689,73,0.0100
68,26.099999999999994,21.099999999999895,3.845,9.745,474,690,89,0.0100
69,-0.49999999999999967,14.5,3.845,9.745,474,690,5,0.0100
