Episode,Score,Steps,AvgScore,Epsilon,QStates
0,0,9,0.00,0.9950,7
1,0,10,0.00,0.9900,16
2,1,29,0.33,0.9851,37
3,0,74,0.25,0.9801,84
4,1,17,0.40,0.9752,95
5,0,25,0.33,0.9704,108
6,0,7,0.29,0.9655,110
7,0,9,0.25,0.9607,117
8,0,19,0.22,0.9559,131
9,0,13,0.20,0.9511,137
10,0,13,0.18,0.9464,147
11,0,8,0.17,0.9416,152
12,1,36,0.23,0.9369,171
13,0,12,0.21,0.9322,173
14,0,5,0.20,0.9276,174
15,0,8,0.19,0.9229,177
16,0,10,0.18,0.9183,182
17,0,12,0.17,0.9137,186
18,0,31,0.16,0.9092,197
19,0,23,0.15,0.9046,206
20,0,7,0.14,0.9001,209
21,1,31,0.18,0.8956,211
22,0,42,0.17,0.8911,231
23,0,29,0.17,0.8867,251
24,0,48,0.16,0.8822,269
25,0,9,0.15,0.8778,271
26,0,31,0.15,0.8734,281
27,1,19,0.18,0.8691,286
28,0,5,0.17,0.8647,290
29,0,13,0.17,0.8604,294
30,0,5,0.16,0.8561,294
31,0,11,0.16,0.8518,295
32,0,25,0.15,0.8475,302
33,1,32,0.18,0.8433,321
34,0,12,0.17,0.8391,324
35,0,22,0.17,0.8349,330
36,0,15,0.16,0.8307,335
37,0,7,0.16,0.8266,337
38,0,24,0.15,0.8224,337
39,0,12,0.15,0.8183,345
40,0,10,0.15,0.8142,348
41,0,21,0.14,0.8102,349
42,0,11,0.14,0.8061,353
43,0,11,0.14,0.8021,359
44,1,50,0.16,0.7981,370
45,0,5,0.15,0.7941,370
46,0,25,0.15,0.7901,370
47,1,16,0.17,0.7862,373
48,0,27,0.16,0.7822,379
49,0,56,0.16,0.7783,386
50,0,13,0.16,0.7744,391
51,0,19,0.15,0.7705,398
52,0,49,0.15,0.7667,399
53,0,11,0.15,0.7629,405
54,0,11,0.15,0.7590,411
55,0,20,0.14,0.7553,419
56,0,29,0.14,0.7515,430
57,0,16,0.14,0.7477,433
58,1,28,0.15,0.7440,440
59,0,7,0.15,0.7403,442
60,0,26,0.15,0.7366,443
61,0,7,0.15,0.7329,443
62,0,14,0.14,0.7292,445
63,0,70,0.14,0.7256,461
64,0,16,0.14,0.7219,464
65,0,8,0.14,0.7183,465
66,0,19,0.13,0.7147,467
67,0,15,0.13,0.7112,471
68,0,35,0.13,0.7076,473
69,0,41,0.13,0.7041,474
70,0,13,0.13,0.7005,476
71,0,12,0.12,0.6970,477
72,0,40,0.12,0.6936,485
73,0,8,0.12,0.6901,486
74,0,30,0.12,0.6866,493
75,0,9,0.12,0.6832,495
76,0,9,0.12,0.6798,496
77,0,39,0.12,0.6764,500
78,0,22,0.11,0.6730,506
79,1,50,0.12,0.6696,507
80,0,11,0.12,0.6663,508
81,1,17,0.13,0.6630,518
82,0,34,0.13,0.6597,520
83,0,30,0.13,0.6564,522
84,0,19,0.13,0.6531,525
85,0,5,0.13,0.6498,525
86,2,69,0.15,0.6466,540
87,0,29,0.15,0.6433,550
88,0,19,0.15,0.6401,553
89,3,78,0.18,0.6369,583
90,0,14,0.18,0.6337,584
91,0,16,0.17,0.6306,592
92,0,12,0.17,0.6274,593
93,1,10,0.18,0.6243,598
94,1,6,0.19,0.6211,599
95,0,25,0.19,0.6180,603
96,0,7,0.19,0.6149,603
97,0,10,0.18,0.6119,604
98,0,21,0.18,0.6088,608
99,0,13,0.18,0.6058,611
100,1,21,0.19,0.6027,613
101,1,23,0.20,0.5997,619
102,0,15,0.19,0.5967,622
103,0,21,0.19,0.5937,628
104,1,22,0.19,0.5908,637
105,1,19,0.20,0.5878,641
106,0,24,0.20,0.5849,643
107,0,30,0.20,0.5820,646
108,1,17,0.21,0.5790,647
109,0,14,0.21,0.5762,647
110,0,8,0.21,0.5733,650
111,0,16,0.21,0.5704,650
112,0,6,0.20,0.5676,650
113,0,13,0.20,0.5647,656
114,0,10,0.20,0.5619,657
115,0,18,0.20,0.5591,658
116,1,12,0.21,0.5563,663
117,0,5,0.21,0.5535,663
118,0,24,0.21,0.5507,664
119,0,34,0.21,0.5480,667
120,0,12,0.21,0.5452,669
121,0,33,0.20,0.5425,673
122,2,40,0.22,0.5398,683
123,0,7,0.22,0.5371,683
124,0,21,0.22,0.5344,689
125,0,34,0.22,0.5318,696
126,0,11,0.22,0.5291,696
127,0,6,0.21,0.5264,697
128,0,43,0.21,0.5238,699
129,0,25,0.21,0.5212,700
130,0,9,0.21,0.5186,701
131,0,14,0.21,0.5160,702
132,0,7,0.21,0.5134,705
133,0,7,0.20,0.5108,710
134,0,6,0.20,0.5083,712
135,0,13,0.20,0.5058,714
