Episode,Agent1Reward,Agent2Reward,Agent1AvgR,Agent2AvgR,Agent1Wins,Agent2Wins,Steps,BufSize,Loss1,Loss2
0,-10.6,4.4,-8.991,-7.441,239,233,6,6,0.15653,0.11172
1,-10.4,4.6000000000000005,-8.991,-7.441,239,233,4,10,0.15653,0.11172
2,-18.299999999999986,6.70000000000002,-8.991,-7.441,239,234,83,93,0.15653,0.11172
3,-10.7,4.300000000000001,-8.991,-7.441,239,234,7,100,0.15653,0.11172
4,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,104,0.15653,0.11172
5,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,108,0.15653,0.11172
6,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,112,0.15653,0.11172
7,-10.6,4.4,-8.991,-7.441,239,234,6,118,0.15653,0.11172
8,-12.5,2.4999999999999996,-8.991,-7.441,239,234,25,143,0.15653,0.11172
9,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,147,0.15653,0.11172
10,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,151,0.15653,0.11172
11,-10.5,4.5,-8.991,-7.441,239,234,5,156,0.15653,0.11172
12,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,160,0.15653,0.11172
13,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,164,0.15653,0.11172
14,-10.799999999999999,4.2,-8.991,-7.441,239,234,8,172,0.15653,0.11172
15,-10.5,4.5,-8.991,-7.441,239,234,5,177,0.15653,0.11172
16,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,181,0.15653,0.11172
17,-10.6,4.4,-8.991,-7.441,239,234,6,187,0.15653,0.11172
18,-22.49999999999997,-7.499999999999972,-8.991,-7.441,239,234,125,312,0.15653,0.11172
19,-10.4,4.6000000000000005,-8.991,-7.441,239,234,4,316,0.15653,0.11172
20,-17.19999999999999,17.800000000000004,-9.024,-4.624,239,235,72,388,0.54073,0.31718
21,-11.9,3.0999999999999996,-9.024,-4.624,239,235,19,407,0.54073,0.31718
22,-10.799999999999999,4.2,-9.024,-4.624,239,235,8,415,0.54073,0.31718
23,-10.4,4.6000000000000005,-9.024,-4.624,239,235,4,419,0.54073,0.31718
24,-10.6,4.4,-9.024,-4.624,239,235,6,425,0.54073,0.31718
25,-10.5,4.5,-9.024,-4.624,239,235,5,430,0.54073,0.31718
26,-10.4,4.6000000000000005,-9.024,-4.624,239,235,4,434,0.54073,0.31718
27,-11.0,4.0,-9.024,-4.624,239,235,10,444,0.54073,0.31718
28,-10.4,4.6000000000000005,-9.024,-4.624,239,235,4,448,0.54073,0.31718
29,-10.4,4.6000000000000005,-9.024,-4.624,239,235,4,452,0.54073,0.31718
